nombre,cantidad,unidad_medida,stock_minimo
MODULO 1 PUNTO EXULT,1000,unidad,1
TOMA EXULT 1 PUNTO,1000,unidad,1
TAPON JELUZ,1000,unidad,1
BASE EXTERIOR 2X10,1000,unidad,1
LAMPARA LED 15W INTERELEC,1000,unidad,1
CAJA TABLEPLAST PF083,1000,unidad,1
"ASPIRADOR DE CONDUCTO GALAXIA 4""",1000,unidad,1
PANTALLA DE POLICARBONATO 30CM,1000,unidad,1
POMPA PKC 15/15 S,1000,unidad,1
BOQUILLA 1/4 NPT ACERO 15 035,1000,unidad,1
PIST ML320 G 1/4M-180BAR.25L/M,1000,unidad,1
LANCIA 1200P15+SF12X2+U1/4NPTF TZ,1000,unidad,1
"VB35 VALVOLA X:5 Y:53,5",1000,unidad,1
"ENROLLA AUTOM.MANG 1/2"" 15 M ACEITE",1000,unidad,1
TRIMAS BASE GRIS CHASIS.ACRIL X 3.5,1000,unidad,1
TRIMAS BASE AZUL OCEANO.ACRIL X 3.5,1000,unidad,1
BALDE P/ARENA INCENDIO ROTOMOLDEADO,1000,unidad,1
"CAÑO DN 168,3 X 6,4 MM. METROS",1000,unidad,1
TORIESFERICO 1600,1000,unidad,1
TORIESFERICO 1700,1000,unidad,1
TORIESFERICO 1750,1000,unidad,1
TORIESFERICO 1800,1000,unidad,1
TORIESFERICO 1900,1000,unidad,1
TORIESFERICO 2000,1000,unidad,1
TORIESFERICO 2100,1000,unidad,1
TORIESFERICO 2200,1000,unidad,1
"CUPLAS 0 1/2"" SCH40 P/SOLDAR",1000,unidad,1
RET 8922 LX DBH,1000,unidad,1
TORCHA REPARADAS,1000,unidad,1
PICOS M6 1.2,1000,unidad,1
PICOS M8 1.2,1000,unidad,1
VIDRIOS TRANSPARENTES,1000,unidad,1
VIDRIOS PROTANE 11,1000,unidad,1
TOBERAS 250,1000,unidad,1
TOBERAS 360,1000,unidad,1
APORTE INOX 308 1.6,1000,unidad,1
SIRGAS 4 MTS.,1000,unidad,1
TUNGSTENOS 2.4,1000,unidad,1
POR CERTIFICACION DE CISTERNA - GLOBAL SUR STL,1000,unidad,1
TORIESFERICO 1600 6.3 A.C.,1000,unidad,1
TORIESFERICO 1700 6.3 A.C.,1000,unidad,1
TORIESFERICO 1750 6.3 A.C.,1000,unidad,1
TORIESFERICO 1800 6.3 A.C.,1000,unidad,1
TORIESFERICO 1900 6.3 A.C.,1000,unidad,1
TORIESFERICO 2000 6.3 A.C.,1000,unidad,1
TORIESFERICO 2100 6.3 A.C.,1000,unidad,1
TORIESFERICO 2200 6.3 A.C.,1000,unidad,1
"UNIONES 3""",1000,unidad,1
LLAVES SALIDA,1000,unidad,1
CAMACHO CON BASE,1000,unidad,1
DESCARGA,1000,unidad,1
"TAPAS 4""",1000,unidad,1
"ROLLOS AMARILLA 3""",1000,unidad,1
"ARANDELA 4""",1000,unidad,1
22213 K,1000,unidad,1
SN 513,1000,unidad,1
H-313,1000,unidad,1
TF ES 6306-A NEUM.MULT C/PL.,1000,unidad,1
TF DOBLE MB G221 N.MULT.AT ALTO TORQUE,1000,unidad,1
TF DIRECTA P/TF 5211 NEUM PL (ABAJO),1000,unidad,1
TF DIRECTA P/TF 5211 NEUM 215 (ARRIBA),1000,unidad,1
EJE PROLONGADOR MB G221 C/PLAC ( 211MM),1000,unidad,1
TRV 53-AB,1000,unidad,1
ADCTUADOR 90 D. 83 2E F05/F07,1000,unidad,1
ADCTUADOR 90 D.63 2E F05/F07,1000,unidad,1
ADAPTADOR P/ACT . POT. E/C 11 A E/C 14,1000,unidad,1
ADAPTADOR 17X14X19,1000,unidad,1
TUBOS USO MECANICO 2 1/2,1000,unidad,1
TUBOS USO MECANICO 2,1000,unidad,1
ANGULOS 1 . 1/4X3/16,1000,unidad,1
ANGULOS 7/8X1/8,1000,unidad,1
TE 7/8X1/8,1000,unidad,1
"METAL DESPLEGADO 450-30-30/2(1 , 5X3)",1000,unidad,1
"TYROLIT DISCO SENSITIVO 350X2 , 5X25 ,4",1000,unidad,1
"CA. EST. RECT. 40X20X1,6",1000,unidad,1
"CA. EST. RECT. 100X20X1,6",1000,unidad,1
"CA. EST. RED. 2X1 , 24",1000,unidad,1
"NIPLE 1"" X 100 AISI 316",1000,unidad,1
NIPLES 1/2 100 AISI 316,1000,unidad,1
NIPLES 3/4 100 AISI 316,1000,unidad,1
"1/2 NIPLES 2"" AISI 316",1000,unidad,1
"TAPA 2"" AISI 304",1000,unidad,1
VALV BY PASS U251,1000,unidad,1
IPN X 6MTS 80,1000,unidad,1
PLANCHUELAS 1 . 1/2X1/4,1000,unidad,1
PLANCHUELAS 3 /4X1/ 4,1000,unidad,1
PLANCHUELAS 1X3 /16,1000,unidad,1
REDONDOS 3/4,1000,unidad,1
REDONDOS 1/2,1000,unidad,1
REDONDOS 3/8,1000,unidad,1
REDONDOS 5/16,1000,unidad,1
REDONDOS 1/4,1000,unidad,1
CUADRADOS 5/8,1000,unidad,1
CUADRADOS 1/2,1000,unidad,1
"CA. EST. RED. 5/8X1 ,6",1000,unidad,1
"CA. EST. RED. 1/ 2X1,6",1000,unidad,1
"CA. EST. RED. 1X1,6",1000,unidad,1
KIT ABS 2S2M,1000,unidad,1
KIT . CONEXIONES,1000,unidad,1
"SENSOR ABS 90"" 1MT + CLIP",1000,unidad,1
CORONA 176MM,1000,unidad,1
VALVULA PREV,1000,unidad,1
KIT CONEXIONES TRCM SUSP MEC,1000,unidad,1
KIT CONEX. DESC. RAP 2 VIAS FORD,1000,unidad,1
SPRING 30/30 303MM ROSCA 3/8,1000,unidad,1
KIT CONEXIONES SPRING X EJE,1000,unidad,1
TANQUE DE AIRE 75L CON SOPORTE,1000,unidad,1
KIT CONEXIOES TANQUE DE 75 L,1000,unidad,1
KIT A/A U-TBA 28D EUROBRAKE,1000,unidad,1
AJUST. AUTOM. U-TBA 28D,1000,unidad,1
PUNTO FIJO U-TBA DER,1000,unidad,1
PUNTO FIJO U-TBA IZQ,1000,unidad,1
TUBO POLIAMIDA 12 X 9 -NEGRO,1000,unidad,1
TUBO POLIAMIDA 16 X 12-NEGRO,1000,unidad,1
TUBO POLIAMIDA 8 X 6-NEGRO,1000,unidad,1
KIT CONEXIONES,1000,unidad,1
CORONA 176 MM,1000,unidad,1
VALVULA DESC RAP Y 2 VIAS P /FORD,1000,unidad,1
KIT CONEX. DESC RAP 2 VIAS FORD,1000,unidad,1
KIT CONEXIONES TANQUE 75L,1000,unidad,1
AJUST. AUTOM. U-TAB 28D,1000,unidad,1
PUNTO FIJO U-TAB DER,1000,unidad,1
TUBO POLIAMIDA 12 X 9 - NEGRO,1000,unidad,1
TUBO POLIAMIDA 16 X 12 - NEGRO,1000,unidad,1
TUBO POLIAMIDA 8 X 6 - NEGRO,1000,unidad,1
"VALVULAS ESF. PT BRONCE CROMADO PTFE 1/2""",1000,unidad,1
"VALVULAS ESF. PT BRONCE CROMADO PTFE 3/4""",1000,unidad,1
"VALVULAS ESF. PT BRONCE CROMADO PTFE 1""",1000,unidad,1
"VALVULAS ESF. BRONCE PASO TOTAL 2""",1000,unidad,1
BIDONES DE AGUA,1000,unidad,1
ENGANCHE Nº3 FIAT COMPLETO,1000,unidad,1
GANCHO CADENERO DE CHAPA (JGO),1000,unidad,1
"CODOS ROSC 1"" AISI 304",1000,unidad,1
"TAPONES 1"" AISI 316",1000,unidad,1
"TEE ROSC 1"" AISI 316",1000,unidad,1
MOTOR TRIF WEG 5.5 HP 1500 RPM IMB3 IP55 C112M A -13985922,1000,unidad,1
GLASURIT COLOR 22 X 01,1000,unidad,1
ENVASE X 1 (72),1000,unidad,1
ESMALTE A POLIU. GRIS VISON 0100 X 03,1000,unidad,1
CONVERTIDOR 9013 X 1,1000,unidad,1
GLASURIT CAT. RAP. 929-91 X 0.500,1000,unidad,1
KIT PARCHE X 10000,1000,unidad,1
ESTOPA BLANCA X 05,1000,unidad,1
