nombre,cantidad,unidad_medida,stock_minimo
"CA.EST.RED. 5/8X1,6",1000,unidad,1
TUBOS USO MECANICO 21/2 X 3.2 DIAM.EXT. 76.20,1000,unidad,1
"CA.EST.RECT. 100X20X1,6",1000,unidad,1
TUBO LED 18W ALIC,1000,unidad,1
MTS.CABLE PRENSAMBLADO 2X6,1000,unidad,1
LISTON LED 1X18,1000,unidad,1
"ALICATE 6"" ZELTA",1000,unidad,1
LAMPARA LED ALIC 48W E40,1000,unidad,1
"JUEGOS DE NIVEL Ø 1/2""",1000,unidad,1
"VALVULA DE SEGURIDAD TIPO POP Ø 1 1/4"" S/REGULAR EMEVAL",1000,unidad,1
"CUPIAS NEGRAS SCH 40 Ø 2 1/2""",1000,unidad,1
"CUPLAS NEGRAS SCH 40 Ø 3""",1000,unidad,1
"CUPLAS NEGRAS SCH 40 Ø 1/2""",1000,unidad,1
VKUA 4554 A,1000,unidad,1
TENSOR FIJO 500 MM ALT NAC,1000,unidad,1
TENSOR REGULABLE 450-500 MM ALT NAC,1000,unidad,1
TENSORN REGULABLE 400-450 MM ALT NAC,1000,unidad,1
PLAQUETA SUPERIOR ELASTICO 75 MM ALT NAC,1000,unidad,1
PLAQUETA INFERIOR ELASTICO DE FUNDICION (BANANITA) ALT NAC,1000,unidad,1
MOSQUETON GALVANIZADO 6X60,1000,unidad,1
TORNILLO TANQUE ZN 5/32X3/4,1000,unidad,1
TORNILLO TANQUE ZN 5/32X1/2,1000,unidad,1
TUERCA ZANCADA (04) 5/32 USS,1000,unidad,1
ARANDELA PLANA 3/16 ZINCADA,1000,unidad,1
"BROCA DE WIDIA VASTAGO HEXAGONAL 1/4"" Ø 8 X 110",1000,unidad,1
PICOS 0.9,1000,unidad,1
TF ZF 16S-130/1650 N.M. C/PL,1000,unidad,1
"REPARACION BOMBA DE VACIO MODELO S-70, MARCA REGISTRADA MINYMASPRES.",1000,unidad,1
TENSOR FIJO 450,1000,unidad,1
TUERCA AJUSTE 12,1000,unidad,1
VIROLA 12 MM (X50),1000,unidad,1
MTS CABLE T.T 2X1 MM,1000,unidad,1
TUBO LED 18W INTERELEC,1000,unidad,1
LISTON LED 1X18 DITECNICA,1000,unidad,1
CERRADURA T NEGRA,1000,unidad,1
REPARACION DE CILINDRO HIDRAULICO (APERTURA DE TAPA),1000,unidad,1
CAMBIO DE SELLOS,1000,unidad,1
FICHA IND 2X 16A+T MACH 220 AZU PH 6 IP44,1000,unidad,1
TOMA IND 2X 16A+T 220 EXTER H AZU INCL IP44,1000,unidad,1
CABLE SUBTER 1KV CU 2X 4MM2 PVC FLEXIBLE,1000,unidad,1
CONO BALIZADOR DE 55 CM,1000,unidad,1
LANZA M.H. CON PUNTERA Y PIPAS,1000,unidad,1
"BUJE LANZA M.H 1/2"" X 77 X 83",1000,unidad,1
KIT-S/BUJE SUSPENSION LANZA MONT,1000,unidad,1
OJAL DE LANZA NA°3 COMPLETO,1000,unidad,1
BUJE BALANCIN POLIPROPILENO M.H. (,1000,unidad,1
BUJE DE TENSOR GOMA M.H. 7/8/ X 78,1000,unidad,1
PERNO BALANCION M.H.PISTA 147MM C/T,1000,unidad,1
CHAVETA 6 X 70,1000,unidad,1
BOLSA CAL HIDRAT EXTRA 25 KG,1000,unidad,1
MANGUERA 3/8 R2 X 1650MM HG 3/8 AS/M X HG 3/4 JIC,1000,unidad,1
CODO 90 JIC X NPT 3/4 X 3/8,1000,unidad,1
